text,label
"Dear hiring manager, I am writing to express my interest in the software engineering position at your company.",email
"Dear Sir or Madam, I would like to inquire about the status of my application submitted last week.",email
"Dear colleagues, Please find attached the quarterly report for your review.",email
"Dear team, I wanted to follow up on our discussion from yesterday's meeting regarding the project timeline.",email
"Dear Dr. Smith, Thank you for taking the time to speak with me about the research opportunity.",email
"Dear Customer Service, I am writing to request a refund for order number 12345.",email
"Dear valued customer, We are pleased to inform you about our new product launch.",email
"Dear Board Members, I am writing to provide an update on the company's financial performance.",email
"Dear Professor Johnson, I hope this email finds you well. I wanted to discuss my thesis proposal.",email
"Dear Support Team, I am experiencing technical difficulties with your software application.",email
"Good morning, I am reaching out regarding the upcoming conference scheduled for next month.",email
"Hello, I would like to schedule a meeting to discuss the partnership opportunity.",email
"Greetings, I am writing on behalf of our organization to request your participation.",email
"Dear friends and family, We are excited to announce our upcoming wedding celebration.",email
"Dear Editor, I am submitting my manuscript for consideration in your journal.",email
"To whom it may concern, I am writing to provide a reference for my former colleague.",email
"Dear recruiter, I came across your job posting and believe I would be a great fit.",email
"Dear Alumni, We cordially invite you to our annual reunion event.",email
"Dear subscribers, We wanted to update you on some changes to our service.",email
"Dear participants, Thank you for registering for our workshop next week.",email
"Dear Hiring Manager, I am excited to apply for the Marketing Director position advertised on LinkedIn.",email
"To the Recruitment Team, Please consider my application for the Data Analyst role at your organization.",email
"Dear Ms. Williams, I am writing to express my strong interest in joining your engineering team.",email
"Good afternoon, I would like to submit my resume for the Project Manager opening.",email
"Dear HR Department, I am a recent graduate interested in your management trainee program.",email
"Respected Sir, I wish to apply for the position of Senior Developer as advertised in your company.",email
"Dear Selection Committee, Please find enclosed my application materials for the research fellowship.",email
"To the hiring panel, I am writing to apply for the Senior Consultant position in your firm.",email
"Dear Talent Acquisition Team, I am reaching out regarding career opportunities at your company.",email
"Good morning, I would like to be considered for the UX Designer role currently available.",email
"Dear Support, I purchased your product last month and it has stopped working properly.",email
"To Customer Care, I need assistance with tracking my order that was placed two weeks ago.",email
"Dear Service Team, I would like to report an issue with my recent billing statement.",email
"Hello, I am writing to request a replacement for the defective item I received.",email
"Dear Technical Support, I am having trouble logging into my account despite multiple attempts.",email
"Good evening, I would like to cancel my subscription effective immediately.",email
"Dear Claims Department, I am filing a claim for damage that occurred during shipping.",email
"To the billing team, Please review the charges on my account as there appears to be an error.",email
"Dear Manager, I had an unsatisfactory experience at your store location and would like to discuss.",email
"Hello Support, I need help recovering access to my account after forgetting my password.",email
"Dear Mr. Thompson, Thank you for your proposal. We have reviewed it carefully and would like to proceed.",email
"Good morning colleagues, Please review the attached documents before our meeting tomorrow.",email
"Dear Partners, We are writing to inform you of upcoming changes to our partnership agreement.",email
"To all staff members, Please note that the office will be closed next Monday for the holiday.",email
"Dear Vendors, We are requesting updated quotes for the services outlined in the attached RFP.",email
"Good afternoon, I am writing to confirm our appointment scheduled for next Tuesday at 2 PM.",email
"Dear Executive Team, Please find the monthly performance report attached for your review.",email
"To whom it may concern, This letter serves as verification of employment for the named individual.",email
"Dear Client, We wanted to update you on the progress of your project as of today's date.",email
"Good morning, I am pleased to inform you that your application has been approved.",email
"Dear Professor Martinez, I am writing to request a letter of recommendation for graduate school.",email
"Good evening, I would like to discuss the possibility of joining your research group.",email
